country_code,country_name,year,coal_share_energy,oil_share_energy,gas_share_energy,nuclear_share_energy,renewables_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,biofuel_share_energy,primary_energy_consumption
ISR,Israel,2006,37.11531448364258,53.98044204711914,8.83651065826416,0.0,0.0677360445261001,0.0163065921515226,0.0,0.0108710611239075,0.040558386594057,245.95970153808597
ISR,Israel,2007,36.600040435791016,53.14533233642578,10.194705963134766,0.0,0.0599194131791591,0.0145969679579138,0.0,0.0104264048859477,0.0348960384726524,255.08470153808597
ISR,Israel,2008,35.008331298828125,51.288360595703125,13.634578704833984,0.0,0.0687277689576149,0.0160871632397174,0.0,0.0090490281581878,0.0352557860314846,262.42742919921875
ISR,Israel,2009,35.28849029541016,49.00178146362305,15.560872077941896,0.0,0.1488589346408844,0.0247082617133855,0.0247082617133855,0.0092655969783663,0.0386948324739933,254.95599365234372
ISR,Israel,2010,33.92737579345703,46.728816986083984,19.122209548950195,0.0,0.2215994298458099,0.0304596945643425,0.0687799602746963,0.0078605664893984,0.0425750277936458,265.0588073730469
ISR,Israel,2011,34.16502380371094,48.04864501953125,17.43370246887207,0.0,0.3526269495487213,0.0278238300234079,0.1842129379510879,0.0067160972394049,0.0493891797959804,270.0618591308594
ISR,Israel,2012,36.25228500366211,54.683841705322266,8.562191009521484,0.0,0.5016818046569824,0.0300902109593153,0.3364632427692413,0.0054709473624825,0.0456327460706234,282.7274780273437
ISR,Israel,2013,30.866212844848636,43.92558288574219,24.624759674072266,0.0,0.5834451913833618,0.0265240613371133,0.464314728975296,0.0057452842593193,0.0365510024130344,267.1832275390625
ISR,Israel,2014,29.412992477416992,42.01677703857422,27.582820892333984,0.0,0.9874087572097778,0.0124065848067402,0.8209837079048157,0.0404435135424137,0.0390703938901424,260.6221008300781
ISR,Israel,2015,27.30020904541016,42.35585021972656,29.07452774047852,0.0,1.2694154977798462,0.0225692074745893,1.120353937149048,0.0060798679478466,0.0404745750129222,275.0286865234375
