dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name
35211061,92.6,81.5,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,StatCan area #35211061
35211065,88.0,66.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,StatCan area #35211065
35211066,91.9,62.2,0.0,17.6,0.0,0.0,5.4,0.0,0.0,0.0,0.0,9.5,0.0,StatCan area #35211066
35211067,80.0,55.4,0.0,10.8,0.0,0.0,9.2,0.0,0.0,0.0,0.0,18.5,0.0,StatCan area #35211067
35211068,70.9,45.6,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,StatCan area #35211068
35211069,83.5,47.6,0.0,8.7,5.8,0.0,6.8,0.0,0.0,0.0,0.0,17.5,0.0,StatCan area #35211069
35211070,90.5,79.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,StatCan area #35211070
35211071,93.0,69.8,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,StatCan area #35211071
35211072,84.7,61.8,0.0,15.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,StatCan area #35211072
35211073,84.6,52.6,0.0,14.1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,StatCan area #35211073
35211074,93.0,42.0,0.0,31.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,StatCan area #35211074
35211077,92.9,43.1,0.0,28.5,1.1,0.0,6.0,0.7,0.0,0.0,0.0,7.1,0.0,StatCan area #35211077
35211078,91.1,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,StatCan area #35211078
35211079,97.1,76.5,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,StatCan area #35211079
35211080,84.5,60.3,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,StatCan area #35211080
35211081,86.8,65.3,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,StatCan area #35211081
35211082,87.3,67.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,StatCan area #35211082
35211083,91.4,74.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,StatCan area #35211083
35211084,88.2,44.9,0.0,23.6,7.9,0.0,2.2,1.7,1.1,0.0,0.0,11.8,0.0,StatCan area #35211084
35211085,87.8,74.4,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,StatCan area #35211085
35211086,90.7,75.0,0.0,5.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,9.3,0.0,StatCan area #35211086
35211087,91.1,65.2,0.0,10.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,StatCan area #35211087
35211088,93.3,69.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,StatCan area #35211088
35211089,83.6,69.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,StatCan area #35211089
35211090,90.8,74.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,StatCan area #35211090
35211091,83.9,72.4,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,StatCan area #35211091
35211092,90.6,62.5,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,StatCan area #35211092
35211093,88.9,47.2,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,StatCan area #35211093
35211094,77.4,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,StatCan area #35211094
35211095,90.3,71.7,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,StatCan area #35211095
35211096,85.1,48.8,0.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,StatCan area #35211096
35211097,90.2,19.5,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,StatCan area #35211097
35211098,86.5,37.8,0.0,27.0,2.7,0.0,0.0,0.0,4.5,0.0,0.0,12.6,0.0,StatCan area #35211098
35211099,68.9,40.6,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,31.1,0.0,StatCan area #35211099
35211102,86.4,37.9,0.0,27.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.6,0.0,StatCan area #35211102
35211103,93.0,56.5,0.0,21.7,0.0,1.7,7.8,0.0,0.0,0.0,0.0,7.0,0.0,StatCan area #35211103
35211104,81.8,26.0,0.0,16.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,StatCan area #35211104
35211105,86.5,59.4,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,StatCan area #35211105
35211106,87.5,50.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,StatCan area #35211106
35211107,89.6,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,StatCan area #35211107
35211108,93.3,61.2,0.0,16.4,0.0,0.0,4.2,0.0,0.0,0.0,0.0,6.1,0.0,StatCan area #35211108
35211109,89.0,48.5,0.0,20.6,0.0,0.0,2.9,0.0,0.0,0.0,0.0,11.8,0.0,StatCan area #35211109
35211110,66.7,44.4,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,StatCan area #35211110
35211111,78.8,44.2,0.0,18.3,6.7,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,StatCan area #35211111
35211112,90.5,51.7,0.0,22.4,0.0,0.0,12.1,0.0,0.0,0.0,0.0,9.5,0.0,StatCan area #35211112
35211113,86.7,55.6,0.0,19.0,0.0,2.3,4.0,0.0,0.0,0.0,0.0,13.3,0.0,StatCan area #35211113
35211114,91.4,54.0,0.0,15.1,0.0,0.0,4.3,0.0,3.6,0.0,0.0,7.9,0.0,StatCan area #35211114
35211120,57.6,30.3,0.0,10.6,0.0,0.0,10.6,0.0,0.0,0.0,0.0,42.4,0.0,StatCan area #35211120
35211121,19.4,6.5,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,3.2,82.3,0.0,StatCan area #35211121
35211122,45.9,19.1,2.5,11.5,4.5,0.0,7.6,0.0,0.0,0.0,0.0,54.1,0.0,StatCan area #35211122
35211123,46.3,24.2,0.0,8.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,53.7,0.0,StatCan area #35211123
35211124,80.2,60.4,0.0,0.0,5.9,0.0,6.9,0.0,0.0,0.0,0.0,19.8,0.0,StatCan area #35211124
35211125,76.5,31.4,0.0,12.7,5.9,0.0,2.9,5.9,0.0,0.0,0.0,23.5,0.0,StatCan area #35211125
35211126,57.0,8.9,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,0.0,StatCan area #35211126
35211127,54.9,20.8,0.0,16.7,4.2,0.0,4.9,0.0,0.0,0.0,0.0,45.8,0.0,StatCan area #35211127
35211128,46.0,16.0,0.0,3.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,52.0,3.0,StatCan area #35211128
35211130,57.8,27.7,0.0,3.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,43.4,0.0,StatCan area #35211130
35211131,44.6,9.8,4.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3,0.0,StatCan area #35211131
35211132,60.6,36.7,0.0,7.3,0.0,0.0,0.0,1.8,0.0,0.0,0.0,39.4,0.0,StatCan area #35211132
35211133,76.7,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,StatCan area #35211133
35211134,46.0,31.7,0.0,3.2,0.0,0.0,4.8,0.0,0.0,0.0,0.0,52.4,0.0,StatCan area #35211134
35211135,51.9,20.6,0.0,13.1,5.6,0.0,1.9,0.0,0.0,0.0,0.0,48.8,0.0,StatCan area #35211135
35211136,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,StatCan area #35211136
35211137,60.4,41.5,0.0,4.9,1.8,0.0,6.1,0.0,0.0,0.0,0.0,38.4,1.2,StatCan area #35211137
35211138,68.1,11.6,0.0,44.9,11.6,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,StatCan area #35211138
35211140,73.7,28.1,0.0,14.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,24.6,0.0,StatCan area #35211140
35211141,71.2,12.1,0.0,22.7,21.2,0.0,9.1,0.0,0.0,0.0,0.0,28.8,0.0,StatCan area #35211141
35211142,59.8,22.8,0.0,9.4,8.7,0.0,5.5,0.0,0.0,0.0,0.0,37.0,2.4,StatCan area #35211142
35211143,64.7,33.5,0.0,12.7,8.1,0.0,2.9,0.0,0.0,0.0,0.0,34.7,0.0,StatCan area #35211143
35211144,78.7,53.3,0.0,5.3,0.0,0.0,9.3,0.0,0.0,0.0,0.0,20.0,0.0,StatCan area #35211144
35211145,50.7,28.0,0.0,13.3,0.0,0.0,0.0,5.3,0.0,0.0,0.0,46.7,4.0,StatCan area #35211145
35211146,57.6,27.7,3.8,9.8,6.5,0.0,1.6,1.6,0.0,0.0,0.0,39.1,3.3,StatCan area #35211146
35211147,55.0,28.7,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,StatCan area #35211147
35211148,57.7,47.4,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,2.6,StatCan area #35211148
35211149,62.1,36.4,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,StatCan area #35211149
35211150,58.0,33.3,0.0,9.9,0.0,0.0,8.6,0.0,0.0,0.0,0.0,40.7,0.0,StatCan area #35211150
35211151,59.7,39.8,0.0,3.6,6.6,0.0,2.0,0.0,2.0,0.0,0.0,39.8,0.0,StatCan area #35211151
