dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
35180827,46.7,20.6,21.2,10.9,0.0,0.0,0.0,0.0,0.0,StatCan area #35180827
35180833,61.6,28.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180833
35180834,50.2,45.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180834
35180840,64.6,20.1,9.1,5.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180840
35180844,60.3,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180844
35180867,46.8,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180867
35180868,45.6,47.6,0.0,0.0,0.0,0.0,5.8,0.0,0.0,StatCan area #35180868
35180869,52.9,42.9,0.0,0.0,0.0,2.9,0.0,0.0,0.0,StatCan area #35180869
35180870,55.8,40.7,1.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180870
35180871,45.9,43.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180871
35180872,56.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180872
35180873,69.4,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180873
35180874,44.6,51.8,0.0,0.0,0.0,0.0,0.0,0.0,2.4,StatCan area #35180874
35180875,40.6,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180875
35180878,56.3,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180878
35180879,58.1,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180879
35180880,54.3,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180880
35180881,54.8,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180881
35180882,57.1,28.6,9.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180882
35180883,37.1,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180883
35180884,58.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180884
35180885,63.2,28.4,5.3,0.0,2.1,0.0,0.0,0.0,0.0,StatCan area #35180885
