dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name
24600126,27.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,73.0,0.0,StatCan area #24600126
24600127,21.2,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8,0.0,StatCan area #24600127
24600129,28.9,0.0,0.0,13.2,0.0,7.4,6.6,0.0,0.0,0.0,0.0,71.9,0.0,StatCan area #24600129
24600132,30.8,0.0,0.0,20.2,0.0,8.7,2.9,0.0,0.0,0.0,0.0,68.3,0.0,StatCan area #24600132
24600133,17.4,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,82.6,0.0,StatCan area #24600133
24600134,19.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,80.0,0.0,StatCan area #24600134
24600135,8.7,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,90.2,0.0,StatCan area #24600135
24600136,17.6,0.0,0.0,13.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,81.5,0.0,StatCan area #24600136
24600138,8.0,0.0,0.0,2.3,0.0,0.0,2.3,0.0,0.0,0.0,0.0,92.0,0.0,StatCan area #24600138
24600139,20.7,0.0,0.0,10.0,0.0,9.3,0.0,2.0,0.0,0.0,0.0,78.7,0.0,StatCan area #24600139
24600140,39.0,0.0,0.0,24.3,0.0,8.1,5.1,0.0,0.0,0.0,0.0,61.0,0.0,StatCan area #24600140
24600141,25.8,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,0.0,StatCan area #24600141
24600148,10.5,0.0,0.0,7.3,0.0,1.7,0.7,0.0,0.0,0.0,0.0,89.5,0.0,StatCan area #24600148
24600149,10.7,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,87.9,1.4,StatCan area #24600149
24600150,18.7,0.0,0.0,4.5,0.0,9.7,0.0,0.0,0.0,0.0,0.0,79.9,1.5,StatCan area #24600150
24600151,18.1,0.0,0.0,11.4,0.0,0.0,5.7,0.0,0.0,0.0,0.0,82.9,0.0,StatCan area #24600151
24600152,3.3,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,0.0,StatCan area #24600152
24600153,8.7,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1,2.2,StatCan area #24600153
24600155,30.4,0.0,0.0,14.7,0.0,14.7,0.0,0.0,0.0,0.0,0.0,69.6,0.0,StatCan area #24600155
24600156,17.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.1,0.0,StatCan area #24600156
24600157,23.8,0.0,0.0,11.9,0.0,0.0,4.8,0.0,0.0,0.0,0.0,78.6,0.0,StatCan area #24600157
24600158,22.4,0.0,0.0,10.6,0.0,9.4,0.0,0.0,0.0,0.0,0.0,76.5,0.0,StatCan area #24600158
24600159,29.8,0.0,0.0,22.7,0.0,0.0,2.8,0.0,0.0,0.0,0.0,70.2,0.0,StatCan area #24600159
24600160,36.6,0.0,0.0,22.8,0.0,8.9,0.0,0.0,0.0,0.0,0.0,63.4,0.0,StatCan area #24600160
24600167,10.4,0.0,0.0,7.4,0.0,0.0,2.5,0.0,0.0,0.0,0.0,87.1,2.5,StatCan area #24600167
24600168,22.1,0.0,0.0,20.6,0.0,0.0,2.3,0.0,0.0,0.0,0.0,77.1,0.0,StatCan area #24600168
24600171,7.0,0.0,0.0,5.6,0.0,0.0,1.4,0.0,0.0,0.0,0.0,93.0,0.0,StatCan area #24600171
24600172,5.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,2.0,StatCan area #24600172
24600173,4.7,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,91.9,2.7,StatCan area #24600173
24600174,9.3,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,81.4,9.3,StatCan area #24600174
24600175,9.0,0.0,0.0,2.6,0.0,0.0,1.3,2.6,0.0,0.0,0.0,90.4,1.3,StatCan area #24600175
24600176,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,0.0,StatCan area #24600176
24600177,13.1,0.0,0.0,9.5,0.0,0.0,2.4,0.0,0.0,0.0,0.0,86.9,0.0,StatCan area #24600177
24600178,10.1,0.0,0.0,6.3,0.0,1.1,1.8,0.0,0.0,0.0,0.0,88.9,0.9,StatCan area #24600178
24600179,7.5,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,0.0,StatCan area #24600179
24600180,17.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,StatCan area #24600180
24600181,6.3,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,93.7,0.0,StatCan area #24600181
24600182,9.6,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4,0.0,StatCan area #24600182
24600183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,0.0,StatCan area #24600183
24600184,7.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7,2.3,StatCan area #24600184
24600185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24600185
24600186,4.6,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0,94.5,0.0,StatCan area #24600186
24600187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,2.5,StatCan area #24600187
24600188,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7,2.1,StatCan area #24600188
24600189,10.5,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5,3.9,StatCan area #24600189
24600190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,StatCan area #24600190
24600191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.9,0.0,StatCan area #24600191
24600192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4,0.0,StatCan area #24600192
24600193,5.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.9,0.0,StatCan area #24600193
24600194,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,1.6,StatCan area #24600194
24600195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,0.0,StatCan area #24600195
24600196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,4.0,StatCan area #24600196
24600197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24600197
24600198,7.2,0.0,0.0,2.1,0.0,0.0,4.7,0.0,0.0,0.0,0.0,91.1,1.7,StatCan area #24600198
24600199,9.9,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,90.1,0.0,StatCan area #24600199
24600200,2.2,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,94.9,2.9,StatCan area #24600200
24600201,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3,2.3,StatCan area #24600201
24600202,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1,2.4,StatCan area #24600202
24600203,6.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,3.1,StatCan area #24600203
24600204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6,0.0,StatCan area #24600204
24600205,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9,9.1,StatCan area #24600205
24600206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3,0.0,StatCan area #24600206
24600207,8.3,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,88.9,2.8,StatCan area #24600207
24600208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1,2.1,StatCan area #24600208
24600209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,2.8,StatCan area #24600209
24600210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,0.0,StatCan area #24600210
24600211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24600211
24600212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,6.7,StatCan area #24600212
24600213,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,5.6,StatCan area #24600213
24600214,3.9,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.1,0.0,StatCan area #24600214
24600215,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,2.6,StatCan area #24600215
24600216,4.6,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,2.0,StatCan area #24600216
24600217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,2.6,StatCan area #24600217
24600218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24600218
24600219,7.7,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8,0.0,StatCan area #24600219
24600220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.1,0.0,StatCan area #24600220
24600221,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5,0.0,StatCan area #24600221
24600223,5.3,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,0.0,StatCan area #24600223
24600224,29.9,0.0,0.0,18.8,0.0,6.5,2.6,0.0,0.0,0.0,0.0,70.8,0.0,StatCan area #24600224
24600225,11.3,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.7,0.0,StatCan area #24600225
24600229,26.1,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,StatCan area #24600229
24600230,43.0,0.0,0.0,23.2,0.0,8.6,5.3,0.0,0.0,0.0,0.0,57.6,0.0,StatCan area #24600230
24600231,18.8,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,StatCan area #24600231
24600234,14.5,0.0,0.0,11.1,0.0,2.0,1.1,0.4,0.0,0.0,0.0,84.6,1.3,StatCan area #24600234
24600236,25.0,0.0,0.0,20.6,0.0,2.0,2.4,0.0,0.0,0.0,0.0,73.0,2.0,StatCan area #24600236
24600240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9,2.7,StatCan area #24600240
24600241,2.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,1.1,StatCan area #24600241
24600242,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,StatCan area #24600242
24600247,22.4,0.0,0.0,14.3,0.0,8.2,0.0,0.0,0.0,0.0,0.0,77.6,0.0,StatCan area #24600247
24600249,22.9,0.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,0.0,StatCan area #24600249
24600250,30.1,0.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,0.0,StatCan area #24600250
24600252,31.8,0.0,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.2,0.0,StatCan area #24600252
24600253,35.2,0.0,0.0,18.2,0.0,15.7,0.0,0.0,0.0,0.0,0.0,64.2,0.0,StatCan area #24600253
24600254,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,3.0,StatCan area #24600254
24600255,24.8,0.0,0.0,8.9,0.0,10.9,5.9,0.0,0.0,0.0,0.0,73.3,2.0,StatCan area #24600255
24600256,36.5,0.0,0.0,29.4,0.0,7.1,0.0,0.0,0.0,0.0,0.0,63.5,0.0,StatCan area #24600256
24600257,21.7,0.0,0.0,13.7,0.0,0.0,6.8,0.0,0.0,0.0,0.0,78.3,0.0,StatCan area #24600257
24600259,20.8,0.0,0.0,14.2,0.0,0.0,4.2,0.0,0.0,0.0,0.0,79.2,0.0,StatCan area #24600259
24600260,49.4,0.0,0.0,18.2,0.0,24.7,0.0,0.0,0.0,0.0,0.0,49.4,0.0,StatCan area #24600260
24600261,24.8,0.0,0.0,17.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,75.2,0.0,StatCan area #24600261
24600263,19.8,0.0,0.0,4.7,0.0,5.7,6.6,0.0,0.0,0.0,0.0,80.2,0.0,StatCan area #24600263
24600264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24600264
24600265,9.1,0.0,0.0,6.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,89.9,0.0,StatCan area #24600265
24600266,28.1,0.0,0.0,19.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,72.7,0.0,StatCan area #24600266
24600267,13.7,0.0,0.0,8.5,0.0,0.0,3.4,0.0,0.0,0.0,0.0,85.5,0.0,StatCan area #24600267
24600268,39.5,0.0,0.0,27.9,0.0,6.1,2.0,0.0,0.0,0.0,0.0,60.5,0.0,StatCan area #24600268
24600269,26.4,0.0,0.0,16.6,0.0,8.0,1.3,0.0,0.0,0.0,0.0,72.3,1.3,StatCan area #24600269
