ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous
9330012.01,9330012.01,74.9,8.4,46.1,0.4,6.9,0.5,3.5,2.3,0.0,2.9,1.2,24.0,1.1
9330012.02,9330012.02,64.1,17.9,15.8,1.3,15.9,0.3,3.1,3.2,0.8,0.9,3.1,33.6,2.3
9330013.01,9330013.01,80.9,18.1,31.7,2.0,14.4,1.3,2.2,5.0,0.2,0.7,0.9,17.2,1.9
9330013.03,9330013.03,84.5,36.6,20.8,1.7,16.8,0.0,1.4,3.0,0.0,0.5,0.9,14.4,1.1
9330013.04,9330013.04,92.4,25.1,37.0,1.1,13.3,0.0,1.4,9.7,0.3,0.0,0.7,7.2,0.3
9330014.01,9330014.01,92.3,8.5,60.3,0.7,11.1,0.0,1.0,7.4,0.0,0.7,0.3,7.0,0.5
9330014.02,9330014.02,88.5,7.7,56.1,0.7,9.5,0.4,2.0,7.0,0.5,0.3,0.6,9.1,2.3
9330015.01,9330015.01,85.5,11.7,47.3,0.8,11.4,0.0,1.2,6.4,0.0,1.6,0.9,13.2,1.4
9330015.02,9330015.02,85.7,10.1,47.4,1.3,12.7,0.2,1.4,6.0,1.6,0.7,1.5,13.0,1.2
9330016.01,9330016.01,81.5,10.9,40.9,0.6,8.8,0.7,4.0,9.4,0.0,1.4,1.4,15.5,2.8
9330016.04,9330016.04,81.4,12.0,30.1,1.8,21.2,0.3,2.8,6.4,0.6,0.9,1.9,16.7,1.8
9330016.05,9330016.05,83.9,11.3,28.1,2.1,26.8,0.6,5.3,5.1,0.8,0.9,0.5,13.5,2.6
9330016.06,9330016.06,80.6,6.9,34.2,2.2,12.4,2.0,5.3,5.0,2.3,4.1,1.7,18.2,1.1
9330017.02,9330017.02,85.0,6.2,41.9,1.4,16.5,0.0,3.1,7.6,0.9,1.8,1.4,13.6,1.5
9330017.03,9330017.03,83.7,8.6,47.6,0.8,11.6,0.8,3.9,5.3,1.0,1.1,0.4,15.4,0.9
9330017.04,9330017.04,84.6,9.1,43.6,0.0,16.0,0.0,3.0,6.1,0.0,1.1,1.7,13.9,1.3
9330018.01,9330018.01,81.0,7.6,43.1,1.1,13.2,0.0,2.4,7.8,0.5,0.9,1.1,17.3,1.6
9330018.02,9330018.02,67.9,9.3,25.4,1.1,19.3,0.1,1.6,5.1,0.4,1.1,1.2,30.1,2.0
9330019.00,9330019.00,54.3,5.9,29.8,0.5,6.8,0.0,2.4,2.6,0.8,1.3,1.4,43.3,2.2
9330020.00,9330020.00,71.3,5.3,48.9,1.6,2.7,0.0,2.7,1.6,2.1,3.0,1.5,27.0,1.9
9330021.00,9330021.00,57.7,5.3,42.8,0.3,1.0,0.0,0.5,1.5,2.5,0.4,0.4,41.5,0.8
9330022.00,9330022.00,50.2,3.7,34.0,0.6,1.6,1.1,2.1,1.3,1.4,0.0,1.3,48.9,0.8
9330023.00,9330023.00,52.9,3.2,39.9,0.2,0.6,1.0,0.7,0.5,0.7,2.2,1.0,46.9,0.4
