dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
24580010,58.9,33.3,7.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580010
24580011,67.3,25.5,6.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580011
24580012,62.5,24.3,11.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580012
24580013,70.1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580013
24580014,58.6,35.6,0.0,0.0,0.0,2.9,0.0,0.0,0.0,StatCan area #24580014
24580015,65.4,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580015
24580016,63.6,29.9,5.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580016
24580017,61.1,31.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580017
24580018,55.6,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580018
24580019,58.7,31.0,9.5,0.0,0.0,0.0,0.0,0.0,1.6,StatCan area #24580019
24580020,57.6,36.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580020
24580021,62.2,29.7,6.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580021
24580022,55.2,32.3,10.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580022
24580023,59.3,28.7,10.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580023
24580024,62.2,26.7,7.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580024
24580025,57.6,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580025
24580026,49.0,21.8,28.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580026
24580027,55.8,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580027
24580028,43.6,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580028
24580029,70.1,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580029
24580030,50.0,43.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580030
24580031,69.7,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580031
24580032,50.0,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580032
24580033,45.8,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580033
24580034,50.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580034
24580035,65.3,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580035
24580036,53.0,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580036
24580037,53.6,40.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580037
24580038,38.6,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580038
24580039,56.0,40.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580039
24580040,49.2,39.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580040
24580041,50.0,38.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580041
24580042,47.2,42.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580042
24580043,54.1,39.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580043
24580044,47.2,44.9,6.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580044
24580045,60.2,33.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580045
24580046,55.2,32.3,10.4,0.0,0.0,0.0,0.0,0.0,2.1,StatCan area #24580046
24580047,68.0,24.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,StatCan area #24580047
24580048,63.3,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580048
24580049,55.0,32.1,7.6,0.0,0.0,2.3,0.0,0.0,0.0,StatCan area #24580049
24580050,58.9,20.6,20.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580050
24580051,45.8,40.8,9.2,0.0,0.0,5.0,0.0,0.0,0.0,StatCan area #24580051
24580052,74.1,22.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580052
24580053,62.8,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580053
24580054,61.1,32.6,5.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580054
24580055,65.1,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580055
24580056,70.2,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580056
24580057,49.6,43.1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580057
24580058,46.8,45.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580058
24580059,45.3,50.0,3.5,0.0,0.0,0.0,0.0,0.0,2.3,StatCan area #24580059
24580060,45.3,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580060
24580061,33.7,62.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580061
24580062,40.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580062
24580063,62.4,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580063
24580064,68.6,27.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580064
24580065,50.0,43.6,4.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580065
24580066,54.9,31.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580066
24580067,52.1,27.9,17.9,0.0,0.0,1.4,0.0,0.0,0.0,StatCan area #24580067
24580068,56.7,23.1,17.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580068
24580069,58.5,35.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580069
24580070,69.7,20.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580070
24580071,70.8,24.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580071
24580072,54.2,32.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580072
24580073,53.4,22.9,19.5,0.0,0.0,4.2,0.0,0.0,0.0,StatCan area #24580073
24580074,48.9,44.7,7.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580074
24580075,67.0,28.9,5.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580075
24580076,55.4,19.6,20.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580076
24580077,61.7,30.8,6.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580077
24580078,67.0,22.3,6.2,0.0,0.0,1.8,0.0,0.0,0.0,StatCan area #24580078
24580079,63.6,22.7,13.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580079
24580080,45.4,31.5,21.3,1.9,0.0,0.0,0.0,0.0,0.0,StatCan area #24580080
24580081,62.8,32.2,3.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580081
24580082,53.6,31.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580082
24580083,44.0,28.6,25.3,0.0,0.0,3.3,0.0,0.0,0.0,StatCan area #24580083
24580084,65.4,27.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580084
24580085,75.3,21.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580085
24580087,66.7,26.5,5.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580087
24580088,60.0,28.6,11.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580088
24580089,55.7,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580089
24580090,54.3,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580090
24580091,68.2,21.6,9.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580091
24580092,70.8,25.8,4.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580092
24580093,76.6,16.9,5.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580093
24580094,47.6,36.5,14.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580094
24580095,66.2,24.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580095
24580096,53.5,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580096
24580097,53.1,29.1,17.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580097
24580098,62.2,25.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580098
24580099,63.6,28.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580099
24580100,52.1,33.8,13.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580100
24580101,52.9,37.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580101
24580102,58.5,23.6,13.2,0.0,0.0,5.7,0.0,0.0,0.0,StatCan area #24580102
24580103,53.0,31.3,13.0,0.0,0.0,2.6,0.0,0.0,0.0,StatCan area #24580103
24580104,66.4,25.5,7.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580104
24580105,72.3,22.8,0.0,0.0,0.0,3.0,0.0,0.0,0.0,StatCan area #24580105
24580106,56.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580106
24580107,66.1,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580107
24580108,49.4,35.3,15.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580108
24580109,50.6,37.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580109
24580110,60.5,29.8,4.0,0.0,0.0,0.0,0.0,0.0,1.6,StatCan area #24580110
24580112,43.5,38.8,16.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580112
24580113,54.1,40.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580113
24580114,57.8,30.5,5.8,0.0,0.0,5.2,0.0,0.0,0.0,StatCan area #24580114
24580115,41.0,41.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580115
