date,exports_us,imports_us,exports_total,imports_total,exports_us_share,balance_us,balance_total,balance_row
2010-12-01,26847.1,16998.6,36970.1,34495.4,72.61841325828169,9848.5,2474.699999999997,-7373.800000000003
2011-01-01,26554.5,18077.5,36195.4,36308.2,73.36429491040298,8477.0,-112.79999999999563,-8589.799999999996
2011-02-01,25801.3,17133.1,34696.0,35171.6,74.36390362001383,8668.2,-475.59999999999854,-9143.8
2011-03-01,26807.7,18132.3,36119.7,36493.3,74.21905497553966,8675.400000000001,-373.6000000000058,-9049.000000000007
2011-04-01,26509.6,18100.4,35331.7,36328.2,75.03063820874739,8409.199999999997,-996.5,-9405.699999999997
2011-05-01,26763.7,18127.2,36096.8,36949.6,74.14424547328295,8636.5,-852.7999999999956,-9489.299999999996
2011-06-01,26333.2,17781.4,35798.2,36852.8,73.56012313468275,8551.8,-1054.6000000000058,-9606.400000000005
2011-07-01,27397.9,18105.8,37019.1,36997.8,74.01017312684533,9292.100000000002,21.299999999995634,-9270.800000000007
2011-08-01,27568.7,19010.0,38365.4,37748.8,71.85823684882733,8558.7,616.5999999999985,-7942.100000000002
2011-09-01,28481.2,19014.1,39329.7,37792.4,72.41651983106915,9467.100000000002,1537.2999999999956,-7929.800000000007
2011-10-01,28286.9,19433.0,38004.0,38758.8,74.43137564466899,8853.900000000001,-754.8000000000029,-9608.700000000004
2011-11-01,28747.3,18951.9,39357.7,38348.2,73.04110758504689,9795.399999999998,1009.5,-8785.899999999998
2011-12-01,29723.3,19557.7,40393.3,38916.3,73.58472816036323,10165.599999999999,1477.0,-8688.599999999999
2012-01-01,28931.3,19626.4,38893.0,38790.9,74.38690766976063,9304.899999999998,102.09999999999854,-9202.8
2012-02-01,28775.7,19347.3,38768.9,38728.6,74.22366897177892,9428.400000000001,40.30000000000291,-9388.099999999999
2012-03-01,28316.7,18793.8,38283.9,38575.0,73.96503491023641,9522.900000000001,-291.09999999999854,-9814.0
2012-04-01,28926.7,19378.4,38861.2,38593.5,74.43594124731095,9548.3,267.6999999999971,-9280.600000000002
2012-05-01,28017.9,19566.4,38008.1,38547.3,73.71560272678718,8451.5,-539.2000000000044,-8990.700000000004
2012-06-01,28434.6,20579.9,37701.4,39588.3,75.42054141225523,7854.699999999997,-1886.9000000000015,-9741.599999999999
2012-07-01,28211.2,20019.8,37828.2,39234.5,74.57716729847046,8191.4000000000015,-1406.300000000003,-9597.700000000004
2012-08-01,27789.5,19136.6,37127.5,38095.4,74.84883172850313,8652.900000000001,-967.9000000000015,-9620.800000000003
2012-09-01,27252.9,19445.2,36601.2,38039.9,74.45903413002853,7807.700000000001,-1438.7000000000044,-9246.400000000005
2012-10-01,27519.2,19252.5,37662.4,37559.5,73.06809974935213,8266.7,102.90000000000146,-8163.799999999999
2012-11-01,29093.0,19710.8,38055.5,38589.6,76.44887072827844,9382.2,-534.0999999999985,-9916.3
2012-12-01,27914.3,19031.4,37379.5,37729.3,74.678098957985,8882.899999999998,-349.8000000000029,-9232.7
2013-01-01,29180.6,19430.6,38677.8,38732.5,75.44534590902275,9750.0,-54.69999999999709,-9804.699999999997
2013-02-01,29512.7,20252.1,39109.9,39122.7,75.46094467129805,9260.600000000002,-12.799999999995634,-9273.399999999998
2013-03-01,29018.1,20346.4,38970.3,39438.5,74.46209036112114,8671.699999999997,-468.1999999999971,-9139.899999999994
2013-04-01,29825.6,20344.5,39303.8,39422.0,75.88477450017554,9481.099999999999,-118.19999999999709,-9599.299999999996
2013-05-01,29672.7,20416.9,39572.3,38624.8,74.9835111934358,9255.8,947.5,-8308.3
2013-06-01,28740.2,20383.3,38095.4,39433.5,75.44270436850643,8356.900000000001,-1338.0999999999985,-9695.0
2013-07-01,29438.3,20310.1,38359.0,39202.7,76.7441799838369,9128.2,-843.6999999999971,-9971.899999999998
2013-08-01,30133.2,20758.0,39169.1,40190.3,76.93105024113396,9375.2,-1021.2000000000044,-10396.400000000005
2013-09-01,30160.8,20867.3,39801.9,40297.5,75.77728701393652,9293.5,-495.59999999999854,-9789.099999999999
2013-10-01,30637.7,21126.0,40289.3,39898.2,76.04425989034308,9511.7,391.1000000000058,-9120.599999999995
2013-11-01,31086.6,22026.1,40500.4,40547.0,76.75627895033135,9060.5,-46.599999999998545,-9107.099999999999
2013-12-01,30508.6,21534.7,40097.8,40751.2,76.0854710233479,8973.899999999998,-653.3999999999942,-9627.299999999992
2014-01-01,31105.8,21367.3,40323.4,40096.5,77.14081649860874,9738.5,226.90000000000146,-9511.599999999999
2014-02-01,32486.8,22337.7,42123.8,41564.3,77.12219695279153,10149.099999999999,559.5,-9589.599999999999
2014-03-01,33701.4,22614.1,43636.6,41771.6,77.23195666023477,11087.300000000003,1865.0,-9222.300000000003
2014-04-01,34082.9,22901.7,43502.7,42559.9,78.34663135851339,11181.2,942.7999999999956,-10238.400000000005
2014-05-01,34603.7,23179.3,45097.3,43619.4,76.73120120273275,11424.399999999998,1477.9000000000015,-9946.499999999996
2014-06-01,33521.5,23300.9,44355.4,42533.0,75.5747890899417,10220.599999999999,1822.4000000000015,-8398.199999999997
2014-07-01,34036.9,23718.6,44670.3,42240.3,76.19581690743065,10318.300000000003,2430.0,-7888.300000000003
2014-08-01,33685.0,23480.6,44147.0,43461.1,76.30190046888802,10204.400000000001,685.9000000000015,-9518.5
2014-09-01,34563.7,23762.2,45104.1,43338.5,76.63094929285808,10801.499999999996,1765.5999999999985,-9035.899999999998
2014-10-01,34473.2,24205.4,45192.2,44303.1,76.28130518098256,10267.799999999996,889.0999999999985,-9378.699999999997
2014-11-01,33769.1,23848.1,43639.1,43106.0,77.38266829517566,9921.0,533.0999999999985,-9387.900000000001
2014-12-01,34680.9,23793.9,44980.9,43606.3,77.1013919241278,10887.0,1374.5999999999985,-9512.400000000001
2015-01-01,33344.8,23524.9,43291.1,43503.1,77.0246078293229,9819.900000000001,-212.0,-10031.900000000001
2015-02-01,33083.5,23443.1,42997.1,43583.0,76.94356130994882,9640.400000000001,-585.9000000000015,-10226.300000000003
2015-03-01,32648.2,23500.2,43243.0,45470.4,75.4993871840529,9148.0,-2227.4000000000015,-11375.400000000001
2015-04-01,32571.3,23351.2,42351.7,44198.6,76.90671212725817,9220.099999999999,-1846.9000000000015,-11067.0
2015-05-01,31696.3,23752.4,41531.0,44375.6,76.31961667188365,7943.899999999998,-2844.5999999999985,-10788.499999999996
2015-06-01,34480.9,23269.1,44624.4,44018.5,77.26916216240443,11211.800000000003,605.9000000000015,-10605.900000000001
2015-07-01,35279.1,24239.8,45567.0,45262.4,77.42247679241557,11039.3,304.59999999999854,-10734.7
2015-08-01,35515.5,24094.2,45475.5,45280.7,78.09809677738563,11421.3,194.8000000000029,-11226.499999999996
2015-09-01,34756.6,23901.3,44697.7,45082.1,77.7592583063558,10855.3,-384.40000000000146,-11239.7
2015-10-01,32197.7,23883.5,42752.5,44816.1,75.31185310800538,8314.2,-2063.5999999999985,-10377.8
2015-11-01,32847.4,24152.8,43006.5,45161.2,76.37775685070862,8694.600000000002,-2154.699999999997,-10849.3
2015-12-01,33749.4,24232.4,44528.5,45400.0,75.79280685403731,9517.0,-871.5,-10388.5
2016-01-01,35097.4,24198.1,45405.5,45683.8,77.29768420125316,10899.300000000003,-278.3000000000029,-11177.600000000006
2016-02-01,33682.3,23900.3,43654.7,45354.3,77.15618249581375,9782.000000000004,-1699.6000000000058,-11481.60000000001
2016-03-01,30797.6,22288.4,40896.2,43300.0,75.30675221658736,8509.199999999997,-2403.800000000003,-10913.0
2016-04-01,30927.5,23163.6,40878.1,43525.9,75.65787059574687,7763.9000000000015,-2647.800000000003,-10411.700000000004
2016-05-01,31414.0,23166.4,40170.5,43444.9,78.20166540122727,8247.599999999999,-3274.4000000000015,-11522.0
2016-06-01,31676.1,23046.9,40972.1,43811.4,77.31138994584119,8629.199999999997,-2839.300000000003,-11468.5
2016-07-01,32706.6,22912.8,42323.9,43529.2,77.27690501111665,9793.8,-1205.2999999999956,-10999.099999999995
2016-08-01,33266.1,23503.6,43807.1,44497.1,75.93769046570077,9762.5,-690.0,-10452.5
